Menge;AccountingMonth;Produktionsstandort;Vertriebsweg;Landeskürzel;Land;Gruppe
14;201409;Standort1;direkt;DE;Deutschland;3
8;201409;Standort1;direkt;DE;Deutschland;3
4;201409;Standort1;direkt;MY;Malaysia;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;MY;Malaysia;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201410;Standort1;direkt;GB;Vereinigtes Königreich;3
210;201410;Standort1;direkt;KW;Kuwait;3
331;201410;Standort1;direkt;KW;Kuwait;3
160;201411;Standort1;direkt;KW;Kuwait;3
50;201411;Standort1;direkt;KW;Kuwait;3
331;201411;Standort1;direkt;KW;Kuwait;3
209;201412;Standort1;direkt;KW;Kuwait;3
330;201412;Standort1;direkt;KW;Kuwait;3
1;201410;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201410;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201410;Standort1;direkt;DE;Deutschland;3
6;201409;Standort1;direkt;MY;Malaysia;3
2;201410;Standort1;direkt;DE;Deutschland;3
2;201410;Standort1;direkt;DE;Deutschland;3
1;201410;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201409;Standort1;direkt;TR;Türkei;3
5;201409;Standort1;direkt;TR;Türkei;3
5;201409;Standort1;direkt;TR;Türkei;3
4;201410;Standort1;direkt;DE;Deutschland;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
